feature_name,vulnerable,value
max_neighbor_cosine,False,0.69761
mean_intensity,False,0.13634
intensity_std,False,0.31338
max_neighbor_cosine,False,0.66405
mean_intensity,False,0.11722
intensity_std,False,0.28303
max_neighbor_cosine,False,0.74859
mean_intensity,False,0.14745
intensity_std,False,0.32609
max_neighbor_cosine,False,0.83107
mean_intensity,False,0.16461
intensity_std,False,0.34185
max_neighbor_cosine,False,0.75928
mean_intensity,False,0.08898
intensity_std,False,0.26573
max_neighbor_cosine,False,0.80384
mean_intensity,False,0.19281
intensity_std,False,0.36452
max_neighbor_cosine,True,0.8134
mean_intensity,True,0.10234
intensity_std,True,0.2625
max_neighbor_cosine,False,0.78916
mean_intensity,False,0.17114
intensity_std,False,0.34816
max_neighbor_cosine,False,0.68785
mean_intensity,False,0.11881
intensity_std,False,0.28822
max_neighbor_cosine,False,0.65953
mean_intensity,False,0.19674
intensity_std,False,0.3666
max_neighbor_cosine,False,0.74545
mean_intensity,False,0.24957
intensity_std,False,0.40327
max_neighbor_cosine,True,0.78916
mean_intensity,True,0.1034
intensity_std,True,0.27906
max_neighbor_cosine,False,0.60803
mean_intensity,False,0.10273
intensity_std,False,0.27031
max_neighbor_cosine,False,0.84271
mean_intensity,False,0.12839
intensity_std,False,0.30797
max_neighbor_cosine,False,0.74582
mean_intensity,False,0.17339
intensity_std,False,0.3489
max_neighbor_cosine,False,0.78654
mean_intensity,False,0.14246
intensity_std,False,0.31874
max_neighbor_cosine,False,0.79141
mean_intensity,False,0.17989
intensity_std,False,0.35738
max_neighbor_cosine,False,0.72435
mean_intensity,False,0.14179
intensity_std,False,0.32
max_neighbor_cosine,False,0.81011
mean_intensity,False,0.20704
intensity_std,False,0.38028
max_neighbor_cosine,False,0.63306
mean_intensity,False,0.12596
intensity_std,False,0.29824
max_neighbor_cosine,False,0.65674
mean_intensity,False,0.1895
intensity_std,False,0.36752
max_neighbor_cosine,False,0.72353
mean_intensity,False,0.12867
intensity_std,False,0.30752
max_neighbor_cosine,False,0.71408
mean_intensity,False,0.10255
intensity_std,False,0.2665
max_neighbor_cosine,False,0.63181
mean_intensity,False,0.08087
intensity_std,False,0.23746
max_neighbor_cosine,False,0.53999
mean_intensity,False,0.08868
intensity_std,False,0.25537
max_neighbor_cosine,False,0.81925
mean_intensity,False,0.12947
intensity_std,False,0.30472
max_neighbor_cosine,False,0.84271
mean_intensity,False,0.10439
intensity_std,False,0.27693
max_neighbor_cosine,False,0.71587
mean_intensity,False,0.18914
intensity_std,False,0.37464
max_neighbor_cosine,False,0.70921
mean_intensity,False,0.1184
intensity_std,False,0.29576
max_neighbor_cosine,False,0.69663
mean_intensity,False,0.15216
intensity_std,False,0.32351
max_neighbor_cosine,False,0.49741
mean_intensity,False,0.08086
intensity_std,False,0.24152
max_neighbor_cosine,True,0.78942
mean_intensity,True,0.05236
intensity_std,True,0.19706
max_neighbor_cosine,True,0.74859
mean_intensity,True,0.09211
intensity_std,True,0.25305
max_neighbor_cosine,False,0.65731
mean_intensity,False,0.10536
intensity_std,False,0.26683
max_neighbor_cosine,False,0.8687
mean_intensity,False,0.09291
intensity_std,False,0.26851
max_neighbor_cosine,False,0.68861
mean_intensity,False,0.16098
intensity_std,False,0.3397
max_neighbor_cosine,False,0.69228
mean_intensity,False,0.10842
intensity_std,False,0.28198
max_neighbor_cosine,False,0.55371
mean_intensity,False,0.08954
intensity_std,False,0.24636
max_neighbor_cosine,False,0.63817
mean_intensity,False,0.09551
intensity_std,False,0.25997
max_neighbor_cosine,False,0.61316
mean_intensity,False,0.08769
intensity_std,False,0.24001
max_neighbor_cosine,False,0.74483
mean_intensity,False,0.12582
intensity_std,False,0.29859
max_neighbor_cosine,False,0.84744
mean_intensity,False,0.14692
intensity_std,False,0.32908
max_neighbor_cosine,False,0.72435
mean_intensity,False,0.13808
intensity_std,False,0.32001
max_neighbor_cosine,False,0.7547
mean_intensity,False,0.19168
intensity_std,False,0.36387
max_neighbor_cosine,False,0.52574
mean_intensity,False,0.04818
intensity_std,False,0.18333
max_neighbor_cosine,False,0.64046
mean_intensity,False,0.14782
intensity_std,False,0.3301
max_neighbor_cosine,False,0.77767
mean_intensity,False,0.12497
intensity_std,False,0.29818
max_neighbor_cosine,False,0.69761
mean_intensity,False,0.18312
intensity_std,False,0.36005
max_neighbor_cosine,False,0.60894
mean_intensity,False,0.13758
intensity_std,False,0.3132
max_neighbor_cosine,False,0.78654
mean_intensity,False,0.19009
intensity_std,False,0.36211
max_neighbor_cosine,False,0.65211
mean_intensity,False,0.1043
intensity_std,False,0.27374
max_neighbor_cosine,False,0.67886
mean_intensity,False,0.06401
intensity_std,False,0.21763
max_neighbor_cosine,False,0.75834
mean_intensity,False,0.14517
intensity_std,False,0.32234
max_neighbor_cosine,False,0.62173
mean_intensity,False,0.10756
intensity_std,False,0.27904
max_neighbor_cosine,False,0.78572
mean_intensity,False,0.16656
intensity_std,False,0.34659
max_neighbor_cosine,False,0.75602
mean_intensity,False,0.15408
intensity_std,False,0.33823
max_neighbor_cosine,False,0.71617
mean_intensity,False,0.11028
intensity_std,False,0.28538
max_neighbor_cosine,True,0.7361
mean_intensity,True,0.06241
intensity_std,True,0.22007
max_neighbor_cosine,False,0.84444
mean_intensity,False,0.15481
intensity_std,False,0.3269
max_neighbor_cosine,False,0.82408
mean_intensity,False,0.15375
intensity_std,False,0.3376
max_neighbor_cosine,False,0.86996
mean_intensity,False,0.17152
intensity_std,False,0.34377
max_neighbor_cosine,False,0.7607
mean_intensity,False,0.14663
intensity_std,False,0.31986
max_neighbor_cosine,False,0.6186
mean_intensity,False,0.10869
intensity_std,False,0.26629
max_neighbor_cosine,True,0.68316
mean_intensity,True,0.09864
intensity_std,True,0.26489
max_neighbor_cosine,False,0.74751
mean_intensity,False,0.13522
intensity_std,False,0.31505
max_neighbor_cosine,False,0.71205
mean_intensity,False,0.1717
intensity_std,False,0.34253
max_neighbor_cosine,True,0.7361
mean_intensity,True,0.07631
intensity_std,True,0.24505
max_neighbor_cosine,True,0.79241
mean_intensity,True,0.04795
intensity_std,True,0.19353
max_neighbor_cosine,False,0.89977
mean_intensity,False,0.16309
intensity_std,False,0.34571
max_neighbor_cosine,False,0.55521
mean_intensity,False,0.12249
intensity_std,False,0.29779
max_neighbor_cosine,True,0.75631
mean_intensity,True,0.11433
intensity_std,True,0.28981
max_neighbor_cosine,False,0.7962
mean_intensity,False,0.20361
intensity_std,False,0.37349
max_neighbor_cosine,False,0.71205
mean_intensity,False,0.13799
intensity_std,False,0.31254
max_neighbor_cosine,False,0.67901
mean_intensity,False,0.15317
intensity_std,False,0.32959
max_neighbor_cosine,False,0.69365
mean_intensity,False,0.18641
intensity_std,False,0.35678
max_neighbor_cosine,True,0.75313
mean_intensity,True,0.09868
intensity_std,True,0.26048
max_neighbor_cosine,False,0.7607
mean_intensity,False,0.16632
intensity_std,False,0.33986
max_neighbor_cosine,False,0.62477
mean_intensity,False,0.11874
intensity_std,False,0.2956
max_neighbor_cosine,False,0.74968
mean_intensity,False,0.15044
intensity_std,False,0.33162
max_neighbor_cosine,False,0.77442
mean_intensity,False,0.14859
intensity_std,False,0.32701
max_neighbor_cosine,False,0.66955
mean_intensity,False,0.13029
intensity_std,False,0.30348
max_neighbor_cosine,False,0.7962
mean_intensity,False,0.15633
intensity_std,False,0.33141
max_neighbor_cosine,False,0.67901
mean_intensity,False,0.17025
intensity_std,False,0.34549
max_neighbor_cosine,False,0.57872
mean_intensity,False,0.12576
intensity_std,False,0.28975
max_neighbor_cosine,False,0.85804
mean_intensity,False,0.12346
intensity_std,False,0.30721
max_neighbor_cosine,False,0.61315
mean_intensity,False,0.13345
intensity_std,False,0.30795
max_neighbor_cosine,False,0.61315
mean_intensity,False,0.13652
intensity_std,False,0.31716
max_neighbor_cosine,False,0.67507
mean_intensity,False,0.12672
intensity_std,False,0.30441
max_neighbor_cosine,False,0.61216
mean_intensity,False,0.11351
intensity_std,False,0.29166
max_neighbor_cosine,False,0.78916
mean_intensity,False,0.1583
intensity_std,False,0.33889
max_neighbor_cosine,False,0.73533
mean_intensity,False,0.18607
intensity_std,False,0.35777
max_neighbor_cosine,False,0.63364
mean_intensity,False,0.07769
intensity_std,False,0.241
max_neighbor_cosine,True,0.60248
mean_intensity,True,0.07335
intensity_std,True,0.22904
max_neighbor_cosine,False,0.71578
mean_intensity,False,0.18906
intensity_std,False,0.36223
max_neighbor_cosine,True,0.93168
mean_intensity,True,0.07647
intensity_std,True,0.24451
max_neighbor_cosine,True,0.81359
mean_intensity,True,0.11122
intensity_std,True,0.29742
max_neighbor_cosine,False,0.65297
mean_intensity,False,0.16041
intensity_std,False,0.33616
max_neighbor_cosine,True,0.80794
mean_intensity,True,0.10695
intensity_std,True,0.27938
max_neighbor_cosine,False,0.78061
mean_intensity,False,0.14018
intensity_std,False,0.31865
max_neighbor_cosine,False,0.76096
mean_intensity,False,0.1901
intensity_std,False,0.36429
max_neighbor_cosine,True,0.89895
mean_intensity,True,0.0526
intensity_std,True,0.19936
max_neighbor_cosine,False,0.68056
mean_intensity,False,0.10912
intensity_std,False,0.28138
max_neighbor_cosine,False,0.75489
mean_intensity,False,0.12753
intensity_std,False,0.30328
max_neighbor_cosine,True,0.71575
mean_intensity,True,0.08071
intensity_std,True,0.24252
max_neighbor_cosine,False,0.66239
mean_intensity,False,0.1064
intensity_std,False,0.26628
max_neighbor_cosine,False,0.61545
mean_intensity,False,0.10177
intensity_std,False,0.26981
max_neighbor_cosine,False,0.7434
mean_intensity,False,0.15026
intensity_std,False,0.32872
max_neighbor_cosine,False,0.63845
mean_intensity,False,0.0905
intensity_std,False,0.25842
max_neighbor_cosine,False,0.75023
mean_intensity,False,0.1638
intensity_std,False,0.34438
max_neighbor_cosine,False,0.85468
mean_intensity,False,0.16414
intensity_std,False,0.34181
max_neighbor_cosine,False,0.8102
mean_intensity,False,0.20545
intensity_std,False,0.37309
max_neighbor_cosine,False,0.65654
mean_intensity,False,0.18897
intensity_std,False,0.35517
max_neighbor_cosine,False,0.68664
mean_intensity,False,0.22224
intensity_std,False,0.38489
max_neighbor_cosine,False,0.47005
mean_intensity,False,0.08739
intensity_std,False,0.27175
max_neighbor_cosine,True,0.61833
mean_intensity,True,0.06082
intensity_std,True,0.21165
max_neighbor_cosine,False,0.8744
mean_intensity,False,0.19034
intensity_std,False,0.36656
max_neighbor_cosine,False,0.6581
mean_intensity,False,0.08312
intensity_std,False,0.23914
max_neighbor_cosine,True,0.64643
mean_intensity,True,0.08143
intensity_std,True,0.24455
max_neighbor_cosine,False,0.65634
mean_intensity,False,0.10526
intensity_std,False,0.26338
max_neighbor_cosine,False,0.63212
mean_intensity,False,0.13543
intensity_std,False,0.31235
max_neighbor_cosine,False,0.63726
mean_intensity,False,0.183
intensity_std,False,0.36321
max_neighbor_cosine,False,0.64695
mean_intensity,False,0.08889
intensity_std,False,0.25243
max_neighbor_cosine,True,0.73849
mean_intensity,True,0.04251
intensity_std,True,0.17771
max_neighbor_cosine,False,0.80606
mean_intensity,False,0.19884
intensity_std,False,0.36841
max_neighbor_cosine,False,0.75514
mean_intensity,False,0.17445
intensity_std,False,0.35087
max_neighbor_cosine,True,0.8566
mean_intensity,True,0.13277
intensity_std,True,0.31031
max_neighbor_cosine,False,0.90336
mean_intensity,False,0.19645
intensity_std,False,0.36655
max_neighbor_cosine,False,0.75996
mean_intensity,False,0.15585
intensity_std,False,0.33464
max_neighbor_cosine,False,0.85468
mean_intensity,False,0.17443
intensity_std,False,0.35774
max_neighbor_cosine,False,0.70762
mean_intensity,False,0.17581
intensity_std,False,0.3501
max_neighbor_cosine,False,0.67772
mean_intensity,False,0.16115
intensity_std,False,0.34126
max_neighbor_cosine,False,0.70926
mean_intensity,False,0.12604
intensity_std,False,0.29994
max_neighbor_cosine,False,0.64859
mean_intensity,False,0.07273
intensity_std,False,0.22799
max_neighbor_cosine,False,0.6936
mean_intensity,False,0.07661
intensity_std,False,0.23434
max_neighbor_cosine,False,0.74073
mean_intensity,False,0.16706
intensity_std,False,0.34084
max_neighbor_cosine,False,0.64088
mean_intensity,False,0.10944
intensity_std,False,0.27432
max_neighbor_cosine,False,0.6936
mean_intensity,False,0.11398
intensity_std,False,0.28749
max_neighbor_cosine,False,0.7038
mean_intensity,False,0.208
intensity_std,False,0.37981
max_neighbor_cosine,False,0.75996
mean_intensity,False,0.11337
intensity_std,False,0.28459
max_neighbor_cosine,False,0.75023
mean_intensity,False,0.11977
intensity_std,False,0.29827
max_neighbor_cosine,False,0.67607
mean_intensity,False,0.12134
intensity_std,False,0.29486
max_neighbor_cosine,False,0.79413
mean_intensity,False,0.20841
intensity_std,False,0.37607
max_neighbor_cosine,False,0.73001
mean_intensity,False,0.19845
intensity_std,False,0.3706
max_neighbor_cosine,False,0.90336
mean_intensity,False,0.23235
intensity_std,False,0.39208
max_neighbor_cosine,False,0.61724
mean_intensity,False,0.1626
intensity_std,False,0.33729
max_neighbor_cosine,False,0.79411
mean_intensity,False,0.17884
intensity_std,False,0.35245
max_neighbor_cosine,False,0.81517
mean_intensity,False,0.10245
intensity_std,False,0.28049
max_neighbor_cosine,False,0.72191
mean_intensity,False,0.15194
intensity_std,False,0.32122
max_neighbor_cosine,False,0.6753
mean_intensity,False,0.12228
intensity_std,False,0.29341
max_neighbor_cosine,False,0.68806
mean_intensity,False,0.13216
intensity_std,False,0.30341
max_neighbor_cosine,False,0.74252
mean_intensity,False,0.11135
intensity_std,False,0.28776
max_neighbor_cosine,False,0.93487
mean_intensity,False,0.07423
intensity_std,False,0.24071
max_neighbor_cosine,False,0.63502
mean_intensity,False,0.13481
intensity_std,False,0.30519
max_neighbor_cosine,False,0.67525
mean_intensity,False,0.11748
intensity_std,False,0.28653
max_neighbor_cosine,False,0.74028
mean_intensity,False,0.16765
intensity_std,False,0.33558
max_neighbor_cosine,True,0.87738
mean_intensity,True,0.0481
intensity_std,True,0.19089
max_neighbor_cosine,False,0.75206
mean_intensity,False,0.12645
intensity_std,False,0.30251
max_neighbor_cosine,False,0.77812
mean_intensity,False,0.17508
intensity_std,False,0.35085
max_neighbor_cosine,False,0.63022
mean_intensity,False,0.17386
intensity_std,False,0.34663
max_neighbor_cosine,False,0.62051
mean_intensity,False,0.10447
intensity_std,False,0.26694
max_neighbor_cosine,False,0.73796
mean_intensity,False,0.0992
intensity_std,False,0.27342
max_neighbor_cosine,False,0.72418
mean_intensity,False,0.16399
intensity_std,False,0.33917
max_neighbor_cosine,False,0.51884
mean_intensity,False,0.10835
intensity_std,False,0.27868
max_neighbor_cosine,False,0.61958
mean_intensity,False,0.10017
intensity_std,False,0.27843
max_neighbor_cosine,False,0.69318
mean_intensity,False,0.16238
intensity_std,False,0.33328
max_neighbor_cosine,False,0.88556
mean_intensity,False,0.11202
intensity_std,False,0.28705
max_neighbor_cosine,False,0.62492
mean_intensity,False,0.16017
intensity_std,False,0.33375
max_neighbor_cosine,False,0.94265
mean_intensity,False,0.07581
intensity_std,False,0.24536
max_neighbor_cosine,True,0.9063
mean_intensity,True,0.0653
intensity_std,True,0.22635
max_neighbor_cosine,True,0.86077
mean_intensity,True,0.13267
intensity_std,True,0.31043
max_neighbor_cosine,False,0.61505
mean_intensity,False,0.1294
intensity_std,False,0.30704
max_neighbor_cosine,False,0.81657
mean_intensity,False,0.13015
intensity_std,False,0.30508
max_neighbor_cosine,False,0.78293
mean_intensity,False,0.13337
intensity_std,False,0.3078
max_neighbor_cosine,False,0.90064
mean_intensity,False,0.07715
intensity_std,False,0.24603
max_neighbor_cosine,False,0.80408
mean_intensity,False,0.12402
intensity_std,False,0.29916
max_neighbor_cosine,False,0.69399
mean_intensity,False,0.09598
intensity_std,False,0.27424
max_neighbor_cosine,False,0.69104
mean_intensity,False,0.13997
intensity_std,False,0.31464
max_neighbor_cosine,False,0.81657
mean_intensity,False,0.1136
intensity_std,False,0.29361
max_neighbor_cosine,False,0.81542
mean_intensity,False,0.14398
intensity_std,False,0.32222
max_neighbor_cosine,False,0.6126
mean_intensity,False,0.11797
intensity_std,False,0.2885
max_neighbor_cosine,False,0.75385
mean_intensity,False,0.13158
intensity_std,False,0.30433
max_neighbor_cosine,False,0.86077
mean_intensity,False,0.17942
intensity_std,False,0.35968
max_neighbor_cosine,False,0.70643
mean_intensity,False,0.13089
intensity_std,False,0.30865
max_neighbor_cosine,False,0.63502
mean_intensity,False,0.14181
intensity_std,False,0.31422
max_neighbor_cosine,False,0.67154
mean_intensity,False,0.0944
intensity_std,False,0.25906
max_neighbor_cosine,True,0.69486
mean_intensity,True,0.11624
intensity_std,True,0.28066
max_neighbor_cosine,False,0.53951
mean_intensity,False,0.07384
intensity_std,False,0.23167
max_neighbor_cosine,False,0.6866
mean_intensity,False,0.19935
intensity_std,False,0.3666
max_neighbor_cosine,False,0.79247
mean_intensity,False,0.18409
intensity_std,False,0.36335
max_neighbor_cosine,True,0.67411
mean_intensity,True,0.09426
intensity_std,True,0.25831
max_neighbor_cosine,False,0.74019
mean_intensity,False,0.26196
intensity_std,False,0.41482
max_neighbor_cosine,False,0.80437
mean_intensity,False,0.13334
intensity_std,False,0.3117
max_neighbor_cosine,False,0.80408
mean_intensity,False,0.14578
intensity_std,False,0.33275
max_neighbor_cosine,False,0.84302
mean_intensity,False,0.14444
intensity_std,False,0.32059
max_neighbor_cosine,False,0.65473
mean_intensity,False,0.20834
intensity_std,False,0.37928
max_neighbor_cosine,False,0.79247
mean_intensity,False,0.20579
intensity_std,False,0.37564
max_neighbor_cosine,False,0.71227
mean_intensity,False,0.13834
intensity_std,False,0.31351
max_neighbor_cosine,False,0.6561
mean_intensity,False,0.19562
intensity_std,False,0.36624
max_neighbor_cosine,False,0.70162
mean_intensity,False,0.10098
intensity_std,False,0.27565
max_neighbor_cosine,False,0.6761
mean_intensity,False,0.17283
intensity_std,False,0.34272
max_neighbor_cosine,False,0.82731
mean_intensity,False,0.17861
intensity_std,False,0.35112
max_neighbor_cosine,True,0.87388
mean_intensity,True,0.1114
intensity_std,True,0.29073
max_neighbor_cosine,False,0.53067
mean_intensity,False,0.11002
intensity_std,False,0.27423
max_neighbor_cosine,False,0.5879
mean_intensity,False,0.14039
intensity_std,False,0.32063
max_neighbor_cosine,False,0.79981
mean_intensity,False,0.16229
intensity_std,False,0.3352
max_neighbor_cosine,False,0.63698
mean_intensity,False,0.13334
intensity_std,False,0.30123
max_neighbor_cosine,True,0.66586
mean_intensity,True,0.06344
intensity_std,True,0.2108
max_neighbor_cosine,False,0.66797
mean_intensity,False,0.13902
intensity_std,False,0.31108
max_neighbor_cosine,False,0.79981
mean_intensity,False,0.17801
intensity_std,False,0.35037
max_neighbor_cosine,False,0.80328
mean_intensity,False,0.17681
intensity_std,False,0.35199
max_neighbor_cosine,False,0.75821
mean_intensity,False,0.11133
intensity_std,False,0.28701
max_neighbor_cosine,False,0.67977
mean_intensity,False,0.16489
intensity_std,False,0.33706
max_neighbor_cosine,False,0.8747
mean_intensity,False,0.11697
intensity_std,False,0.2981
max_neighbor_cosine,False,0.82852
mean_intensity,False,0.14868
intensity_std,False,0.31811
max_neighbor_cosine,False,0.76332
mean_intensity,False,0.18282
intensity_std,False,0.35623
max_neighbor_cosine,True,0.728
mean_intensity,True,0.07291
intensity_std,True,0.2228
max_neighbor_cosine,False,0.46931
mean_intensity,False,0.07388
intensity_std,False,0.23586
max_neighbor_cosine,False,0.7429
mean_intensity,False,0.10249
intensity_std,False,0.2725
max_neighbor_cosine,False,0.80328
mean_intensity,False,0.23075
intensity_std,False,0.39231
max_neighbor_cosine,False,0.70137
mean_intensity,False,0.17771
intensity_std,False,0.34825
max_neighbor_cosine,False,0.61221
mean_intensity,False,0.11686
intensity_std,False,0.29654
max_neighbor_cosine,True,0.8747
mean_intensity,True,0.08635
intensity_std,True,0.25359
max_neighbor_cosine,True,0.89641
mean_intensity,True,0.08383
intensity_std,True,0.25725
max_neighbor_cosine,False,0.63806
mean_intensity,False,0.11817
intensity_std,False,0.29474
max_neighbor_cosine,False,0.79687
mean_intensity,False,0.17024
intensity_std,False,0.3422
max_neighbor_cosine,False,0.72429
mean_intensity,False,0.09381
intensity_std,False,0.26178
max_neighbor_cosine,False,0.6326
mean_intensity,False,0.13577
intensity_std,False,0.30644
max_neighbor_cosine,False,0.74448
mean_intensity,False,0.17131
intensity_std,False,0.34443
max_neighbor_cosine,False,0.62198
mean_intensity,False,0.10244
intensity_std,False,0.27113
max_neighbor_cosine,False,0.728
mean_intensity,False,0.09599
intensity_std,False,0.2717
max_neighbor_cosine,False,0.85533
mean_intensity,False,0.08428
intensity_std,False,0.25751
max_neighbor_cosine,False,0.76498
mean_intensity,False,0.12919
intensity_std,False,0.31463
max_neighbor_cosine,False,0.56053
mean_intensity,False,0.07024
intensity_std,False,0.22461
max_neighbor_cosine,False,0.64421
mean_intensity,False,0.14567
intensity_std,False,0.32234
max_neighbor_cosine,False,0.74149
mean_intensity,False,0.12866
intensity_std,False,0.3019
max_neighbor_cosine,False,0.73129
mean_intensity,False,0.16619
intensity_std,False,0.35003
max_neighbor_cosine,False,0.73409
mean_intensity,False,0.16756
intensity_std,False,0.34535
max_neighbor_cosine,False,0.78262
mean_intensity,False,0.16115
intensity_std,False,0.33915
max_neighbor_cosine,False,0.56334
mean_intensity,False,0.11411
intensity_std,False,0.27934
max_neighbor_cosine,False,0.65266
mean_intensity,False,0.13146
intensity_std,False,0.30235
max_neighbor_cosine,False,0.61208
mean_intensity,False,0.08032
intensity_std,False,0.22957
max_neighbor_cosine,False,0.70708
mean_intensity,False,0.12345
intensity_std,False,0.30149
max_neighbor_cosine,False,0.76379
mean_intensity,False,0.16643
intensity_std,False,0.34413
max_neighbor_cosine,False,0.56812
mean_intensity,False,0.12113
intensity_std,False,0.29808
max_neighbor_cosine,False,0.83639
mean_intensity,False,0.1588
intensity_std,False,0.33521
max_neighbor_cosine,False,0.84429
mean_intensity,False,0.07866
intensity_std,False,0.25126
max_neighbor_cosine,False,0.70595
mean_intensity,False,0.14415
intensity_std,False,0.32533
max_neighbor_cosine,False,0.80821
mean_intensity,False,0.1103
intensity_std,False,0.2913
max_neighbor_cosine,False,0.63858
mean_intensity,False,0.11809
intensity_std,False,0.28884
max_neighbor_cosine,False,0.82035
mean_intensity,False,0.13026
intensity_std,False,0.30944
