seed,N,strategy,noise_type,magnitude,mse,accuracy,cosine
42,10,class_balanced,flip,0.2,7.780023370332345e-15,1.0,1.0000000715255737
42,10,class_balanced,gaussian,0.2,0.0016765501350164413,1.0,0.9886918187141418
42,10,class_balanced,occlusion,0.5,7.927892432023981e-24,1.0,1.0000000596046448
42,10,random,flip,0.2,0.13402515053843364,0.4,0.6887275785207748
42,10,random,gaussian,0.2,0.10870888829231262,0.5,0.7501077979803086
42,10,random,occlusion,0.5,0.005267742648720742,0.9,0.9682580292224884
42,50,class_balanced,flip,0.2,0.013189100176098818,0.88,0.9467885673046113
42,50,class_balanced,gaussian,0.2,0.002407539295620261,0.94,0.9835606050491333
42,50,class_balanced,occlusion,0.5,0.007623062594225577,0.92,0.9624445283412933
42,50,random,flip,0.2,0.024781455896200892,0.76,0.897305389046669
42,50,random,gaussian,0.2,0.019403547055762117,0.82,0.9220901322364807
42,50,random,occlusion,0.5,0.022625607764561285,0.78,0.9019884127378464
42,100,class_balanced,flip,0.2,0.0426104115340604,0.6,0.8508831268548965
42,100,class_balanced,gaussian,0.2,0.026868378525553363,0.74,0.9034710115194321
42,100,class_balanced,occlusion,0.5,0.014955945215188615,0.84,0.9477674353122711
42,100,random,flip,0.2,0.06096328729768829,0.5,0.8074815392494201
42,100,random,gaussian,0.2,0.05205926488236882,0.54,0.8325963479280472
42,100,random,occlusion,0.5,0.03761124860980472,0.64,0.8735201960802078
42,500,class_balanced,flip,0.2,0.10872298741713166,0.28,0.737222473025322
42,500,class_balanced,gaussian,0.2,0.09896053214091857,0.32,0.7607444244623184
42,500,class_balanced,occlusion,0.5,0.04954685607090374,0.52,0.862761133313179
42,500,random,flip,0.2,0.08170434988194099,0.34,0.7536152142286301
42,500,random,gaussian,0.2,0.07036937505820616,0.4,0.7842137306928635
42,500,random,occlusion,0.5,0.07314072046263462,0.28,0.7566508710384369
42,1000,class_balanced,flip,0.2,0.11619390182197094,0.18,0.6934287512302398
42,1000,class_balanced,gaussian,0.2,0.0938616468789743,0.24,0.7397879463434219
42,1000,class_balanced,occlusion,0.5,0.08824601815625237,0.2,0.7283051979541778
42,1000,random,flip,0.2,0.18559152516050745,0.12,0.6220736032724381
42,1000,random,gaussian,0.2,0.16800339249350446,0.14,0.6492270010709763
42,1000,random,occlusion,0.5,0.11113173476023394,0.24,0.7342684781551361
43,10,class_balanced,flip,0.2,4.716950570584924e-07,1.0,0.9999967992305756
43,10,class_balanced,gaussian,0.2,4.562280094971559e-21,1.0,0.9999999642372132
43,10,class_balanced,occlusion,0.5,1.593935716927823e-16,1.0,0.9999999642372132
43,10,random,flip,0.2,3.9983145688876996e-10,1.0,1.0
43,10,random,gaussian,0.2,0.0,1.0,1.0
43,10,random,occlusion,0.5,1.4125354767102377e-40,1.0,1.0
43,50,class_balanced,flip,0.2,0.055339566776007876,0.6,0.8275592821836472
43,50,class_balanced,gaussian,0.2,0.03348915874448921,0.72,0.8899549293518066
43,50,class_balanced,occlusion,0.5,0.016288351742827393,0.82,0.943979834318161
43,50,random,flip,0.2,0.03375036486053476,0.7,0.883053542971611
43,50,random,gaussian,0.2,0.024850835538896564,0.78,0.9152290672063828
43,50,random,occlusion,0.5,0.025400195535725603,0.72,0.9021035891771316
43,100,class_balanced,flip,0.2,0.045856397411162854,0.62,0.8631320422887803
43,100,class_balanced,gaussian,0.2,0.03697852557757869,0.72,0.8876392811536788
43,100,class_balanced,occlusion,0.5,0.01812611563254781,0.78,0.9325033211708069
43,100,random,flip,0.2,0.059982479519712056,0.56,0.817638920545578
43,100,random,gaussian,0.2,0.052751345187425615,0.62,0.8416246020793915
43,100,random,occlusion,0.5,0.036319540625696665,0.64,0.8701488572359085
43,500,class_balanced,flip,0.2,0.10933968462059969,0.24,0.7023812675476074
43,500,class_balanced,gaussian,0.2,0.09130182025393378,0.32,0.7480349093675613
43,500,class_balanced,occlusion,0.5,0.07501564385190494,0.38,0.7695376664400101
43,500,random,flip,0.2,0.21490959406208276,0.04,0.5635943979024887
43,500,random,gaussian,0.2,0.21302072018384932,0.06,0.5667750751972198
43,500,random,occlusion,0.5,0.11476934800857055,0.3,0.7051625525951386
43,1000,class_balanced,flip,0.2,0.08730122342705737,0.16,0.7557026493549347
43,1000,class_balanced,gaussian,0.2,0.08192279759153247,0.24,0.7726922571659088
43,1000,class_balanced,occlusion,0.5,0.07056234863345559,0.3,0.78400132894516
43,1000,random,flip,0.2,0.1337670583113346,0.16,0.6765710288286209
43,1000,random,gaussian,0.2,0.11628842156816012,0.2,0.7116987425088882
43,1000,random,occlusion,0.5,0.07767380350932249,0.3,0.7751008760929108
44,10,class_balanced,flip,0.2,0.008961153030395509,0.9,0.9576965510845185
44,10,class_balanced,gaussian,0.2,2.277790815355665e-33,1.0,1.0000001192092896
44,10,class_balanced,occlusion,0.5,4.503850764558948e-12,1.0,1.0000001072883606
44,10,random,flip,0.2,0.011668263375759125,0.9,0.9578800201416016
44,10,random,gaussian,0.2,0.011668258905410766,0.9,0.957880026102066
44,10,random,occlusion,0.5,0.022919731587171553,0.8,0.9190781235694885
44,50,class_balanced,flip,0.2,0.027779074907308396,0.78,0.8969337886571884
44,50,class_balanced,gaussian,0.2,0.022126328135927905,0.82,0.917608500123024
44,50,class_balanced,occlusion,0.5,0.007765451706764705,0.92,0.9642546606063843
44,50,random,flip,0.2,0.06411473917438279,0.52,0.8023495733737945
44,50,random,gaussian,0.2,0.05717580687868449,0.58,0.8220015674829483
44,50,random,occlusion,0.5,0.027909423212161864,0.72,0.9040546000003815
44,100,class_balanced,flip,0.2,0.0712397045697448,0.56,0.7970858788490296
44,100,class_balanced,gaussian,0.2,0.050168180596375275,0.66,0.8504226648807526
44,100,class_balanced,occlusion,0.5,0.04266791189385989,0.7,0.8631490409374237
44,100,random,flip,0.2,0.05756717121652565,0.6,0.8294200259447098
44,100,random,gaussian,0.2,0.0601296344399592,0.58,0.8251277714967727
44,100,random,occlusion,0.5,0.037915144428382064,0.74,0.8853471547365188
44,500,class_balanced,flip,0.2,0.08637081116446367,0.4,0.7645322197675705
44,500,class_balanced,gaussian,0.2,0.07001068227491375,0.5,0.8068275725841523
44,500,class_balanced,occlusion,0.5,0.04652094997704245,0.5,0.8433303081989288
44,500,random,flip,0.2,0.0942679295875132,0.3,0.7313344198465347
44,500,random,gaussian,0.2,0.0838976197389521,0.36,0.7560066121816635
44,500,random,occlusion,0.5,0.07920168688554731,0.3,0.7540923881530762
44,1000,class_balanced,flip,0.2,0.0627468156069524,0.4,0.8101309871673584
44,1000,class_balanced,gaussian,0.2,0.04924251373050959,0.48,0.8475991767644883
44,1000,class_balanced,occlusion,0.5,0.0622809881086257,0.36,0.7903406536579132
44,1000,random,flip,0.2,0.11767826176423114,0.14,0.7117394816875457
44,1000,random,gaussian,0.2,0.10896835872437854,0.18,0.7297191977500915
44,1000,random,occlusion,0.5,0.10239888605657593,0.2,0.7345558279752731
45,10,class_balanced,flip,0.2,0.018407654762268067,0.9,0.938276520371437
45,10,class_balanced,gaussian,0.2,0.018407654762268067,0.9,0.938276520371437
45,10,class_balanced,occlusion,0.5,4.622384577559384e-16,1.0,1.0000000834465026
45,10,random,flip,0.2,0.010769776254892349,0.8,0.9563553035259247
45,10,random,gaussian,0.2,0.010769776254892349,0.8,0.9563553035259247
45,10,random,occlusion,0.5,0.004291698709130348,0.9,0.9875292241573334
45,50,class_balanced,flip,0.2,0.041719151360795535,0.66,0.8408688765764236
45,50,class_balanced,gaussian,0.2,0.02785705732860825,0.74,0.8906506359577179
45,50,class_balanced,occlusion,0.5,0.017977303458247888,0.8,0.9223355662822723
45,50,random,flip,0.2,0.010780014030250924,0.9,0.9629466903209686
45,50,random,gaussian,0.2,0.0049861159743613825,0.94,0.9825485306978226
45,50,random,occlusion,0.5,0.002842227742102836,0.94,0.9867297399044037
45,100,class_balanced,flip,0.2,0.030317651916248557,0.72,0.8925777965784073
45,100,class_balanced,gaussian,0.2,0.019185887169400128,0.8,0.9291634368896484
45,100,class_balanced,occlusion,0.5,0.026918353251137592,0.72,0.8995702081918716
45,100,random,flip,0.2,0.051525024330160124,0.56,0.823174124956131
45,100,random,gaussian,0.2,0.03963976042641431,0.62,0.8597697240114212
45,100,random,occlusion,0.5,0.02251065223994892,0.7,0.9105665218830109
45,500,class_balanced,flip,0.2,0.07181017400021497,0.34,0.7893804794549942
45,500,class_balanced,gaussian,0.2,0.05425776478276394,0.48,0.8423921638727188
45,500,class_balanced,occlusion,0.5,0.06226535466263037,0.4,0.8031859022378921
45,500,random,flip,0.2,0.09882438288040372,0.32,0.7497430020570754
45,500,random,gaussian,0.2,0.09419805515175747,0.36,0.7654964566230774
45,500,random,occlusion,0.5,0.07700728544940696,0.36,0.7911630487442016
45,1000,class_balanced,flip,0.2,0.09036103706502685,0.26,0.7577725350856781
45,1000,class_balanced,gaussian,0.2,0.08326517186593273,0.32,0.7766352474689484
45,1000,class_balanced,occlusion,0.5,0.06656598448840541,0.34,0.799905606508255
45,1000,random,flip,0.2,0.14008035868406296,0.14,0.6701923614740372
45,1000,random,gaussian,0.2,0.13006410091009457,0.2,0.6910633593797684
45,1000,random,occlusion,0.5,0.0914596020567438,0.28,0.7534479081630707
46,10,class_balanced,flip,0.2,0.025953734293580055,0.7,0.8571659713983536
46,10,class_balanced,gaussian,0.2,0.015567007879509199,0.9,0.9416087090969085
46,10,class_balanced,occlusion,0.5,1.6834770597143486e-17,1.0,1.0000000476837159
46,10,random,flip,0.2,0.017946066707372664,0.8,0.9266626179218292
46,10,random,gaussian,0.2,0.017946066707372664,0.8,0.9266626179218292
46,10,random,occlusion,0.5,0.0037754074767612166,0.9,0.9848934352397919
46,50,class_balanced,flip,0.2,0.012101795655607938,0.88,0.953287409543991
46,50,class_balanced,gaussian,0.2,0.01420445457100871,0.86,0.9453833150863648
46,50,class_balanced,occlusion,0.5,0.015571845163147848,0.86,0.9402465426921844
46,50,random,flip,0.2,0.03261918079630374,0.66,0.8799830967187882
46,50,random,gaussian,0.2,0.022712433286507468,0.76,0.9139564579725266
46,50,random,occlusion,0.5,0.009737044253145347,0.84,0.9579217910766602
46,100,class_balanced,flip,0.2,0.03094654397518743,0.72,0.8926673048734665
46,100,class_balanced,gaussian,0.2,0.01760687908722406,0.82,0.9330281215906143
46,100,class_balanced,occlusion,0.5,0.017944401998558974,0.8,0.9214430397748947
46,100,random,flip,0.2,0.0515193969520624,0.6,0.8479386782646179
46,100,random,gaussian,0.2,0.04309669989948631,0.64,0.8702695965766907
46,100,random,occlusion,0.5,0.016817437844742985,0.82,0.9413401067256928
46,500,class_balanced,flip,0.2,0.09496764697263589,0.24,0.7280240529775619
46,500,class_balanced,gaussian,0.2,0.07867352223897388,0.34,0.7720699101686478
46,500,class_balanced,occlusion,0.5,0.05260453616314662,0.48,0.819070548415184
46,500,random,flip,0.2,0.1021189777229225,0.28,0.7343104898929596
46,500,random,gaussian,0.2,0.09658480346202875,0.3,0.7475841826200486
46,500,random,occlusion,0.5,0.051900344405241716,0.48,0.826865941286087
46,1000,class_balanced,flip,0.2,0.10650829547101694,0.16,0.7174335360527039
46,1000,class_balanced,gaussian,0.2,0.09268864735262468,0.26,0.7535204130411148
46,1000,class_balanced,occlusion,0.5,0.06833771652670965,0.34,0.7904935312271119
46,1000,random,flip,0.2,0.0792754170803735,0.34,0.7812893450260162
46,1000,random,gaussian,0.2,0.06854256851205644,0.4,0.8082526969909668
46,1000,random,occlusion,0.5,0.05080389130206529,0.5,0.8372168022394181
