seed,N,strategy,probe_idx,true_index,attack_success,pixel_i,pixel_j,pixel_value,original_value,perturbation_l2,retrieved_index,evaluations
42,100,class_balanced,0,23,0,3,9,0.3549,0.0,0.3549,23,40400
42,100,class_balanced,1,46,0,18,4,0.8696,0.0,0.8696,46,40400
42,100,class_balanced,2,57,0,4,19,0.3097,0.0,0.3097,57,40400
42,100,class_balanced,3,98,0,9,12,0.6467,0.9451,0.2984,98,40400
42,100,class_balanced,4,13,0,23,6,0.9628,0.0,0.9628,13,40400
42,100,class_balanced,5,8,0,26,9,0.4886,0.0,0.4886,8,40400
42,100,class_balanced,6,83,1,6,10,0.0159,0.2745,0.2586,84,40400
42,100,class_balanced,7,36,0,18,15,0.9357,0.0,0.9357,36,40400
42,100,class_balanced,8,32,0,24,10,0.1525,0.4824,0.3299,32,40400
42,100,class_balanced,9,9,0,11,12,0.7991,0.0,0.7991,9,40400
42,100,class_balanced,10,22,0,2,11,0.3935,0.0,0.3935,22,40400
42,100,class_balanced,11,35,1,22,16,0.0513,0.9882,0.9369,36,40400
42,100,class_balanced,12,73,0,12,24,0.3813,0.0,0.3813,73,40400
42,100,class_balanced,13,61,0,17,10,0.8144,0.9882,0.1738,61,40400
42,100,class_balanced,14,85,0,13,2,0.0863,0.0,0.0863,85,40400
42,100,class_balanced,15,24,0,25,13,0.303,0.0,0.303,24,40400
42,100,class_balanced,16,65,0,11,27,0.2635,0.0,0.2635,65,40400
42,100,class_balanced,17,47,0,6,16,0.3161,0.0,0.3161,47,40400
42,100,class_balanced,18,64,0,5,13,0.8522,0.7176,0.1346,64,40400
42,100,class_balanced,19,56,0,6,27,0.8517,0.0,0.8517,56,40400
42,100,class_balanced,20,5,0,21,3,0.1988,0.0,0.1988,5,40400
42,100,class_balanced,21,97,0,23,7,0.9887,0.0,0.9887,97,40400
42,100,class_balanced,22,40,0,25,5,0.3458,0.0,0.3458,40,40400
42,100,class_balanced,23,44,0,3,19,1.0,0.0,1.0,44,40400
42,100,class_balanced,24,26,0,27,9,0.0897,0.0,0.0897,26,40400
42,100,class_balanced,25,33,0,13,11,0.3134,0.9569,0.6435,33,40400
42,100,class_balanced,26,68,0,11,26,0.8979,0.0,0.8979,68,40400
42,100,class_balanced,27,89,0,21,0,0.8801,0.0,0.8801,89,40400
42,100,class_balanced,28,91,0,9,7,0.587,0.2039,0.3831,91,40400
42,100,class_balanced,29,81,0,14,1,0.4714,0.0,0.4714,81,40400
42,100,class_balanced,30,72,0,26,17,0.7528,0.0,0.7528,72,40400
42,100,class_balanced,31,12,1,15,10,1.0,0.0,1.0,14,40400
42,100,class_balanced,32,58,1,20,9,1.0,0.0,1.0,57,40400
42,100,class_balanced,33,45,0,13,19,0.1986,0.0627,0.1358,45,40400
42,100,class_balanced,34,19,0,12,18,0.9883,0.0,0.9883,19,40400
42,100,class_balanced,35,50,0,20,12,0.1447,0.0,0.1447,50,40400
42,100,class_balanced,36,51,0,24,15,0.6082,0.7412,0.133,51,40400
42,100,class_balanced,37,99,0,21,21,0.5115,0.0706,0.4409,99,40400
42,100,class_balanced,38,53,0,18,1,0.6727,0.0,0.6727,53,40400
42,100,class_balanced,39,60,0,7,3,0.5156,0.0,0.5156,60,40400
42,100,class_balanced,40,7,0,24,15,0.1796,0.0,0.1796,7,40400
42,100,class_balanced,41,15,0,20,3,0.5405,0.0,0.5405,15,40400
42,100,class_balanced,42,49,0,2,18,0.7044,0.0,0.7044,49,40400
42,100,class_balanced,43,86,0,8,2,0.0031,0.0,0.0031,86,40400
42,100,class_balanced,44,55,0,9,16,0.9992,0.0,0.9992,55,40400
42,100,class_balanced,45,79,0,17,6,0.6808,0.4471,0.2338,79,40400
42,100,class_balanced,46,93,0,23,20,0.5153,0.0,0.5153,93,40400
42,100,class_balanced,47,27,0,27,25,0.6055,0.0,0.6055,27,40400
42,100,class_balanced,48,39,0,4,2,0.9484,0.0,0.9484,39,40400
42,100,class_balanced,49,20,0,11,21,0.2244,0.0,0.2244,20,40400
43,100,class_balanced,0,63,0,20,24,0.068,0.0,0.068,63,40400
43,100,class_balanced,1,70,0,5,8,1.0,0.0,1.0,70,40400
43,100,class_balanced,2,58,0,5,16,0.0,1.0,1.0,58,40400
43,100,class_balanced,3,36,0,21,25,0.8136,0.0,0.8136,36,40400
43,100,class_balanced,4,88,0,11,8,0.9605,0.0,0.9605,88,40400
43,100,class_balanced,5,9,0,25,22,0.8505,0.0,0.8505,9,40400
43,100,class_balanced,6,68,0,20,24,0.8111,0.0,0.8111,68,40400
43,100,class_balanced,7,14,1,3,19,0.5195,0.0,0.5195,86,40400
43,100,class_balanced,8,21,0,21,13,0.1309,0.8824,0.7515,21,40400
43,100,class_balanced,9,47,0,15,12,0.7278,0.9922,0.2643,47,40400
43,100,class_balanced,10,2,0,24,24,0.7844,0.0,0.7844,2,40400
43,100,class_balanced,11,66,0,7,26,0.3742,0.0,0.3742,66,40400
43,100,class_balanced,12,67,0,20,9,0.2885,0.9216,0.633,67,40400
43,100,class_balanced,13,46,1,17,16,0.8199,0.6392,0.1807,86,40400
43,100,class_balanced,14,83,0,13,7,0.4804,0.0,0.4804,83,40400
43,100,class_balanced,15,39,0,15,6,0.8481,0.0157,0.8324,39,40400
43,100,class_balanced,16,13,1,7,0,0.5776,0.0,0.5776,86,40400
43,100,class_balanced,17,17,1,21,10,0.824,0.0,0.824,86,400
43,100,class_balanced,18,64,0,14,16,0.4649,0.9922,0.5273,64,40400
43,100,class_balanced,19,38,0,1,11,0.0419,0.0,0.0419,38,40400
43,100,class_balanced,20,85,1,12,9,1.0,0.0,1.0,86,40400
43,100,class_balanced,21,4,0,15,10,0.0456,0.0,0.0456,4,40400
43,100,class_balanced,22,34,0,27,2,0.3511,0.0,0.3511,34,40400
43,100,class_balanced,23,20,0,24,16,0.7285,0.0,0.7285,20,40400
43,100,class_balanced,24,89,0,13,20,0.4353,0.4549,0.0196,89,40400
43,100,class_balanced,25,94,1,19,10,1.0,0.0,1.0,86,40400
43,100,class_balanced,26,60,0,16,25,0.3055,0.0,0.3055,60,40400
43,100,class_balanced,27,27,0,6,17,0.3103,0.0,0.3103,27,40400
43,100,class_balanced,28,25,0,15,23,0.7775,0.0,0.7775,25,40400
43,100,class_balanced,29,40,0,22,6,0.32,0.0,0.32,40,40400
43,100,class_balanced,30,57,0,5,24,0.5777,0.9961,0.4184,57,40400
43,100,class_balanced,31,0,0,17,6,0.4598,0.3333,0.1265,0,40400
43,100,class_balanced,32,23,0,9,20,0.971,0.0,0.971,23,40400
43,100,class_balanced,33,6,0,7,25,0.7463,0.0,0.7463,6,40400
43,100,class_balanced,34,82,0,16,23,0.636,0.0,0.636,82,40400
43,100,class_balanced,35,73,0,25,0,0.0667,0.0,0.0667,73,40400
43,100,class_balanced,36,77,0,14,10,0.8754,0.0,0.8754,77,40400
43,100,class_balanced,37,45,0,25,2,0.9951,0.0,0.9951,45,40400
43,100,class_balanced,38,41,0,16,8,0.8059,0.5569,0.249,41,40400
43,100,class_balanced,39,93,0,22,7,0.1471,0.0,0.1471,93,40400
43,100,class_balanced,40,30,0,19,10,0.0181,0.0,0.0181,30,40400
43,100,class_balanced,41,53,0,17,20,0.879,0.0,0.879,53,40400
43,100,class_balanced,42,32,1,19,10,1.0,0.0,1.0,86,40400
43,100,class_balanced,43,3,0,12,16,0.8668,0.9922,0.1254,3,40400
43,100,class_balanced,44,18,1,4,22,0.0551,0.0,0.0551,86,40400
43,100,class_balanced,45,10,1,9,10,1.0,0.0,1.0,86,40400
43,100,class_balanced,46,33,0,15,3,0.0153,0.0,0.0153,33,40400
43,100,class_balanced,47,99,1,12,6,0.9296,0.0,0.9296,96,40400
43,100,class_balanced,48,52,0,25,20,0.4609,0.0,0.4609,52,40400
43,100,class_balanced,49,96,0,15,16,0.9032,0.9922,0.089,96,40400
44,100,class_balanced,0,12,1,19,13,0.9974,0.0,0.9974,17,40400
44,100,class_balanced,1,99,0,3,12,0.5881,0.0,0.5881,99,40400
44,100,class_balanced,2,53,0,21,5,0.9875,0.0,0.9875,53,40400
44,100,class_balanced,3,72,1,18,4,1.0,0.0,1.0,5,40400
44,100,class_balanced,4,85,0,22,10,0.2697,0.5647,0.295,85,40400
44,100,class_balanced,5,67,0,19,1,0.6809,0.0,0.6809,67,40400
44,100,class_balanced,6,95,0,22,6,0.2326,0.0,0.2326,95,40400
44,100,class_balanced,7,46,0,19,5,0.3159,0.0,0.3159,46,40400
44,100,class_balanced,8,47,0,6,24,0.1084,0.0,0.1084,47,40400
44,100,class_balanced,9,80,0,14,17,0.3156,0.1843,0.1313,80,40400
44,100,class_balanced,10,9,0,2,0,0.5096,0.0,0.5096,9,40400
44,100,class_balanced,11,56,0,23,5,0.5936,0.0,0.5936,56,40400
44,100,class_balanced,12,59,0,12,8,0.2104,0.9922,0.7818,59,40400
44,100,class_balanced,13,21,0,4,21,0.3385,0.0,0.3385,21,40400
44,100,class_balanced,14,70,1,22,18,1.0,0.0,1.0,25,40400
44,100,class_balanced,15,3,0,9,8,0.7387,0.0,0.7387,3,40400
44,100,class_balanced,16,41,0,11,14,0.1587,0.0745,0.0842,41,40400
44,100,class_balanced,17,49,1,5,15,1.0,0.0,1.0,88,40400
44,100,class_balanced,18,82,0,1,24,0.1771,0.0,0.1771,82,40400
44,100,class_balanced,19,54,0,20,25,0.0712,0.0,0.0712,54,40400
44,100,class_balanced,20,84,0,15,18,0.7646,0.2627,0.5019,84,40400
44,100,class_balanced,21,42,0,26,18,0.3438,0.0,0.3438,42,40400
44,100,class_balanced,22,15,1,11,21,0.9825,0.0,0.9825,91,400
44,100,class_balanced,23,89,0,14,20,0.507,0.0,0.507,89,40400
44,100,class_balanced,24,23,0,22,19,0.6426,0.0941,0.5484,23,40400
44,100,class_balanced,25,94,1,9,10,1.0,0.0,1.0,91,40400
44,100,class_balanced,26,7,0,16,4,1.0,0.0,1.0,7,40400
44,100,class_balanced,27,55,0,11,24,0.3898,0.0,0.3898,55,40400
44,100,class_balanced,28,88,0,4,6,0.8388,0.0,0.8388,88,40400
44,100,class_balanced,29,38,0,15,4,0.7183,0.0,0.7183,38,40400
44,100,class_balanced,30,29,0,9,1,0.0307,0.0,0.0307,29,40400
44,100,class_balanced,31,22,0,7,21,0.7367,0.0,0.7367,22,40400
44,100,class_balanced,32,93,0,12,18,1.0,0.0,1.0,93,40400
44,100,class_balanced,33,68,0,8,26,0.0639,0.0,0.0639,68,40400
44,100,class_balanced,34,37,0,19,27,0.2387,0.0,0.2387,37,40400
44,100,class_balanced,35,64,0,20,10,0.1523,0.1882,0.0359,64,40400
44,100,class_balanced,36,62,0,3,19,0.6918,0.0,0.6918,62,40400
44,100,class_balanced,37,65,0,8,24,0.8801,0.0,0.8801,65,40400
44,100,class_balanced,38,57,0,4,25,0.8879,0.0,0.8879,57,40400
44,100,class_balanced,39,48,0,1,2,0.619,0.0,0.619,48,40400
44,100,class_balanced,40,45,0,19,15,0.5462,0.9961,0.4499,45,40400
44,100,class_balanced,41,20,0,22,5,0.2452,0.6078,0.3626,20,40400
44,100,class_balanced,42,31,0,22,27,0.3844,0.0,0.3844,31,40400
44,100,class_balanced,43,2,0,25,20,0.315,0.0,0.315,2,40400
44,100,class_balanced,44,98,0,23,9,0.829,0.0,0.829,98,40400
44,100,class_balanced,45,39,0,23,6,0.3675,0.0,0.3675,39,40400
44,100,class_balanced,46,18,0,27,7,0.3647,0.0,0.3647,18,40400
44,100,class_balanced,47,69,0,10,6,0.7572,0.0,0.7572,69,40400
44,100,class_balanced,48,71,0,9,26,0.0036,0.0,0.0036,71,40400
44,100,class_balanced,49,36,0,22,11,0.4487,0.0,0.4487,36,40400
45,100,class_balanced,0,73,0,12,22,0.3034,0.0,0.3034,73,40400
45,100,class_balanced,1,19,0,21,11,0.9879,0.0,0.9879,19,40400
45,100,class_balanced,2,66,0,6,27,0.7925,0.0,0.7925,66,40400
45,100,class_balanced,3,86,0,8,18,0.7601,0.8745,0.1144,86,40400
45,100,class_balanced,4,88,0,8,16,0.0795,0.0157,0.0638,88,40400
45,100,class_balanced,5,18,1,23,12,0.8664,0.0,0.8664,13,40400
45,100,class_balanced,6,45,0,5,15,0.9538,0.0,0.9538,45,40400
45,100,class_balanced,7,2,0,3,25,0.7115,0.0,0.7115,2,40400
45,100,class_balanced,8,89,0,25,1,0.4392,0.0,0.4392,89,40400
45,100,class_balanced,9,50,0,20,13,0.2033,0.0,0.2033,50,40400
45,100,class_balanced,10,70,0,0,1,0.0888,0.0,0.0888,70,40400
45,100,class_balanced,11,82,0,19,14,0.0083,0.0,0.0083,82,40400
45,100,class_balanced,12,30,0,15,23,0.3923,0.0,0.3923,30,40400
45,100,class_balanced,13,65,0,13,8,0.49,0.0,0.49,65,40400
45,100,class_balanced,14,35,0,12,6,0.3048,0.0,0.3048,35,40400
45,100,class_balanced,15,75,0,20,12,0.0193,0.0,0.0193,75,40400
45,100,class_balanced,16,3,0,26,2,0.013,0.0,0.013,3,40400
45,100,class_balanced,17,17,0,26,12,0.0836,0.0,0.0836,17,40400
45,100,class_balanced,18,16,1,9,14,0.4678,0.0588,0.409,12,40400
45,100,class_balanced,19,68,1,19,18,0.1398,0.6824,0.5425,63,40400
45,100,class_balanced,20,53,0,3,9,0.8806,0.0,0.8806,53,40400
45,100,class_balanced,21,91,0,0,21,0.8533,0.0,0.8533,91,40400
45,100,class_balanced,22,97,0,0,11,0.0479,0.0,0.0479,97,40400
45,100,class_balanced,23,13,0,9,27,0.371,0.0,0.371,13,40400
45,100,class_balanced,24,95,0,4,20,0.7942,0.0,0.7942,95,40400
45,100,class_balanced,25,15,0,14,22,0.929,0.0,0.929,15,40400
45,100,class_balanced,26,23,0,16,18,0.4315,0.0,0.4315,23,40400
45,100,class_balanced,27,99,0,11,18,0.1516,0.9961,0.8444,99,40400
45,100,class_balanced,28,29,0,3,7,0.723,0.0,0.723,29,40400
45,100,class_balanced,29,48,0,0,21,0.1504,0.0,0.1504,48,40400
45,100,class_balanced,30,69,0,4,13,0.0095,0.0,0.0095,69,40400
45,100,class_balanced,31,63,0,0,23,0.3314,0.0,0.3314,63,40400
45,100,class_balanced,32,80,0,26,3,0.0865,0.0,0.0865,80,40400
45,100,class_balanced,33,67,0,0,24,0.0403,0.0,0.0403,67,40400
45,100,class_balanced,34,44,0,19,16,0.0405,0.3216,0.2811,44,40400
45,100,class_balanced,35,4,1,23,22,0.1583,0.0,0.1583,5,40400
45,100,class_balanced,36,31,0,9,24,0.8175,0.0,0.8175,31,40400
45,100,class_balanced,37,39,0,4,6,0.226,0.0,0.226,39,40400
45,100,class_balanced,38,34,0,18,4,0.445,0.0471,0.398,34,40400
45,100,class_balanced,39,33,1,9,20,1.0,0.0,1.0,36,40400
45,100,class_balanced,40,5,0,10,22,0.2769,0.2863,0.0093,5,40400
45,100,class_balanced,41,77,0,2,23,0.2391,0.0,0.2391,77,40400
45,100,class_balanced,42,94,0,5,14,0.0129,0.0,0.0129,94,40400
45,100,class_balanced,43,7,0,16,7,0.1347,0.0,0.1347,7,40400
45,100,class_balanced,44,1,0,11,1,0.6046,0.0,0.6046,1,40400
45,100,class_balanced,45,52,0,23,4,0.8399,0.0,0.8399,52,40400
45,100,class_balanced,46,55,0,18,16,0.901,0.0,0.901,55,40400
45,100,class_balanced,47,11,0,11,1,0.7145,0.0,0.7145,11,40400
45,100,class_balanced,48,51,0,22,21,0.9258,0.0,0.9258,51,40400
45,100,class_balanced,49,37,0,24,26,0.2888,0.0,0.2888,37,40400
46,100,class_balanced,0,34,0,3,6,0.3712,0.0,0.3712,34,40400
46,100,class_balanced,1,77,1,13,18,1.0,0.0,1.0,70,40400
46,100,class_balanced,2,20,0,16,11,0.6396,0.7216,0.082,20,40400
46,100,class_balanced,3,52,0,24,11,0.3124,0.0,0.3124,52,40400
46,100,class_balanced,4,81,0,6,23,0.9349,0.0,0.9349,81,40400
46,100,class_balanced,5,65,0,13,13,0.2547,0.6941,0.4394,65,40400
46,100,class_balanced,6,95,1,9,9,0.9955,0.0,0.9955,91,40400
46,100,class_balanced,7,50,0,10,21,0.2113,0.102,0.1093,50,40400
46,100,class_balanced,8,87,0,18,6,0.7699,0.0,0.7699,87,40400
46,100,class_balanced,9,7,0,20,19,0.5204,0.0,0.5204,7,40400
46,100,class_balanced,10,40,0,5,13,0.1079,0.0,0.1079,40,40400
46,100,class_balanced,11,53,0,8,6,0.3903,0.4941,0.1038,53,40400
46,100,class_balanced,12,94,0,24,12,0.6511,0.9686,0.3175,94,40400
46,100,class_balanced,13,0,0,17,20,0.3052,0.0,0.3052,0,40400
46,100,class_balanced,14,85,0,16,19,0.916,0.0,0.916,85,40400
46,100,class_balanced,15,74,1,18,5,1.0,0.0,1.0,21,40400
46,100,class_balanced,16,54,0,1,7,0.6714,0.0,0.6714,54,40400
46,100,class_balanced,17,18,0,12,15,0.9506,0.0,0.9506,18,40400
46,100,class_balanced,18,3,0,2,27,0.6796,0.0,0.6796,3,40400
46,100,class_balanced,19,66,0,27,13,0.0155,0.0,0.0155,66,40400
46,100,class_balanced,20,68,0,2,20,0.6695,0.0,0.6695,68,40400
46,100,class_balanced,21,97,1,0,12,0.725,0.0,0.725,94,40400
46,100,class_balanced,22,13,1,4,18,1.0,0.0,1.0,19,40400
46,100,class_balanced,23,59,0,19,3,0.4573,0.0,0.4573,59,40400
46,100,class_balanced,24,1,0,25,9,0.0389,0.0,0.0389,1,40400
46,100,class_balanced,25,56,0,13,1,0.1864,0.0,0.1864,56,40400
46,100,class_balanced,26,39,0,19,21,0.7456,0.0,0.7456,39,40400
46,100,class_balanced,27,32,0,12,11,0.7839,0.0,0.7839,32,40400
46,100,class_balanced,28,35,0,8,10,0.1129,0.0,0.1129,35,40400
46,100,class_balanced,29,73,0,13,1,0.5184,0.0,0.5184,73,40400
46,100,class_balanced,30,12,0,25,26,0.3161,0.0,0.3161,12,40400
46,100,class_balanced,31,76,0,9,20,0.9539,0.0,0.9539,76,40400
46,100,class_balanced,32,24,0,13,18,0.2184,0.0,0.2184,24,40400
46,100,class_balanced,33,27,0,19,17,0.0419,0.0,0.0419,27,40400
46,100,class_balanced,34,4,0,2,2,0.1783,0.0,0.1783,4,40400
46,100,class_balanced,35,88,0,10,11,0.8865,0.0,0.8865,88,40400
46,100,class_balanced,36,72,0,19,6,0.764,0.0,0.764,72,40400
46,100,class_balanced,37,64,0,22,11,0.5901,0.0,0.5901,64,40400
46,100,class_balanced,38,57,0,22,9,0.6527,0.9451,0.2924,57,40400
46,100,class_balanced,39,83,0,27,10,0.8379,0.0,0.8379,83,40400
46,100,class_balanced,40,92,0,4,10,0.4736,0.0,0.4736,92,40400
46,100,class_balanced,41,99,0,22,24,0.244,0.0,0.244,99,40400
46,100,class_balanced,42,22,0,0,23,0.1391,0.0,0.1391,22,40400
46,100,class_balanced,43,46,0,13,17,0.9981,0.9961,0.002,46,40400
46,100,class_balanced,44,63,0,4,23,0.1955,0.0,0.1955,63,40400
46,100,class_balanced,45,15,0,2,9,0.0462,0.0,0.0462,15,40400
46,100,class_balanced,46,42,0,25,12,0.1695,0.0,0.1695,42,40400
46,100,class_balanced,47,79,0,14,23,0.8963,0.0,0.8963,79,40400
46,100,class_balanced,48,98,0,1,4,0.4871,0.0,0.4871,98,40400
46,100,class_balanced,49,90,0,8,23,0.9901,0.0,0.9901,90,40400
