seed,probe_idx,digit_class,vulnerable,max_neighbor_cosine,mean_intensity,intensity_std
42,0,2,0,0.69761,0.13634,0.31338
42,1,4,0,0.66405,0.11722,0.28303
42,2,5,0,0.74859,0.14745,0.32609
42,3,9,0,0.83107,0.16461,0.34185
42,4,1,0,0.75928,0.08898,0.26573
42,5,0,0,0.80384,0.19281,0.36452
42,6,8,1,0.8134,0.10234,0.2625
42,7,3,0,0.78916,0.17114,0.34816
42,8,3,0,0.68785,0.11881,0.28822
42,9,0,0,0.65953,0.19674,0.3666
42,10,2,0,0.74545,0.24957,0.40327
42,11,3,1,0.78916,0.1034,0.27906
42,12,7,0,0.60803,0.10273,0.27031
42,13,6,0,0.84271,0.12839,0.30797
42,14,8,0,0.74582,0.17339,0.3489
42,15,2,0,0.78654,0.14246,0.31874
42,16,6,0,0.79141,0.17989,0.35738
42,17,4,0,0.72435,0.14179,0.32
42,18,6,0,0.81011,0.20704,0.38028
42,19,5,0,0.63306,0.12596,0.29824
42,20,0,0,0.65674,0.1895,0.36752
42,21,9,0,0.72353,0.12867,0.30752
42,22,4,0,0.71408,0.10255,0.2665
42,23,4,0,0.63181,0.08087,0.23746
42,24,2,0,0.53999,0.08868,0.25537
42,25,3,0,0.81925,0.12947,0.30472
42,26,6,0,0.84271,0.10439,0.27693
42,27,8,0,0.71587,0.18914,0.37464
42,28,9,0,0.70921,0.1184,0.29576
42,29,8,0,0.69663,0.15216,0.32351
42,30,7,0,0.49741,0.08086,0.24152
42,31,1,1,0.78942,0.05236,0.19706
42,32,5,1,0.74859,0.09211,0.25305
42,33,4,0,0.65731,0.10536,0.26683
42,34,1,0,0.8687,0.09291,0.26851
42,35,5,0,0.68861,0.16098,0.3397
42,36,5,0,0.69228,0.10842,0.28198
42,37,9,0,0.55371,0.08954,0.24636
42,38,5,0,0.63817,0.09551,0.25997
42,39,6,0,0.61316,0.08769,0.24001
42,40,0,0,0.74483,0.12582,0.29859
42,41,1,0,0.84744,0.14692,0.32908
42,42,4,0,0.72435,0.13808,0.32001
42,43,8,0,0.7547,0.19168,0.36387
42,44,5,0,0.52574,0.04818,0.18333
42,45,7,0,0.64046,0.14782,0.3301
42,46,9,0,0.77767,0.12497,0.29818
42,47,2,0,0.69761,0.18312,0.36005
42,48,3,0,0.60894,0.13758,0.3132
42,49,2,0,0.78654,0.19009,0.36211
43,0,6,0,0.65211,0.1043,0.27374
43,1,7,0,0.67886,0.06401,0.21763
43,2,5,0,0.75834,0.14517,0.32234
43,3,3,0,0.62173,0.10756,0.27904
43,4,8,0,0.78572,0.16656,0.34659
43,5,0,0,0.75602,0.15408,0.33823
43,6,6,0,0.71617,0.11028,0.28538
43,7,1,1,0.7361,0.06241,0.22007
43,8,2,0,0.84444,0.15481,0.3269
43,9,4,0,0.82408,0.15375,0.3376
43,10,0,0,0.86996,0.17152,0.34377
43,11,6,0,0.7607,0.14663,0.31986
43,12,6,0,0.6186,0.10869,0.26629
43,13,4,1,0.68316,0.09864,0.26489
43,14,8,0,0.74751,0.13522,0.31505
43,15,3,0,0.71205,0.1717,0.34253
43,16,1,1,0.7361,0.07631,0.24505
43,17,1,1,0.79241,0.04795,0.19353
43,18,6,0,0.89977,0.16309,0.34571
43,19,3,0,0.55521,0.12249,0.29779
43,20,8,1,0.75631,0.11433,0.28981
43,21,0,0,0.7962,0.20361,0.37349
43,22,3,0,0.71205,0.13799,0.31254
43,23,2,0,0.67901,0.15317,0.32959
43,24,8,0,0.69365,0.18641,0.35678
43,25,9,1,0.75313,0.09868,0.26048
43,26,6,0,0.7607,0.16632,0.33986
43,27,2,0,0.62477,0.11874,0.2956
43,28,2,0,0.74968,0.15044,0.33162
43,29,4,0,0.77442,0.14859,0.32701
43,30,5,0,0.66955,0.13029,0.30348
43,31,0,0,0.7962,0.15633,0.33141
43,32,2,0,0.67901,0.17025,0.34549
43,33,0,0,0.57872,0.12576,0.28975
43,34,8,0,0.85804,0.12346,0.30721
43,35,7,0,0.61315,0.13345,0.30795
43,36,7,0,0.61315,0.13652,0.31716
43,37,4,0,0.67507,0.12672,0.30441
43,38,4,0,0.61216,0.11351,0.29166
43,39,9,0,0.78916,0.1583,0.33889
43,40,3,0,0.73533,0.18607,0.35777
43,41,5,0,0.63364,0.07769,0.241
43,42,3,1,0.60248,0.07335,0.22904
43,43,0,0,0.71578,0.18906,0.36223
43,44,1,1,0.93168,0.07647,0.24451
43,45,1,1,0.81359,0.11122,0.29742
43,46,3,0,0.65297,0.16041,0.33616
43,47,9,1,0.80794,0.10695,0.27938
43,48,5,0,0.78061,0.14018,0.31865
43,49,9,0,0.76096,0.1901,0.36429
44,0,1,1,0.89895,0.0526,0.19936
44,1,9,0,0.68056,0.10912,0.28138
44,2,5,0,0.75489,0.12753,0.30328
44,3,7,1,0.71575,0.08071,0.24252
44,4,8,0,0.66239,0.1064,0.26628
44,5,6,0,0.61545,0.10177,0.26981
44,6,9,0,0.7434,0.15026,0.32872
44,7,4,0,0.63845,0.0905,0.25842
44,8,4,0,0.75023,0.1638,0.34438
44,9,8,0,0.85468,0.16414,0.34181
44,10,0,0,0.8102,0.20545,0.37309
44,11,5,0,0.65654,0.18897,0.35517
44,12,5,0,0.68664,0.22224,0.38489
44,13,2,0,0.47005,0.08739,0.27175
44,14,7,1,0.61833,0.06082,0.21165
44,15,0,0,0.8744,0.19034,0.36656
44,16,4,0,0.6581,0.08312,0.23914
44,17,4,1,0.64643,0.08143,0.24455
44,18,8,0,0.65634,0.10526,0.26338
44,19,5,0,0.63212,0.13543,0.31235
44,20,8,0,0.63726,0.183,0.36321
44,21,4,0,0.64695,0.08889,0.25243
44,22,1,1,0.73849,0.04251,0.17771
44,23,8,0,0.80606,0.19884,0.36841
44,24,2,0,0.75514,0.17445,0.35087
44,25,9,1,0.8566,0.13277,0.31031
44,26,0,0,0.90336,0.19645,0.36655
44,27,5,0,0.75996,0.15585,0.33464
44,28,8,0,0.85468,0.17443,0.35774
44,29,3,0,0.70762,0.17581,0.3501
44,30,2,0,0.67772,0.16115,0.34126
44,31,2,0,0.70926,0.12604,0.29994
44,32,9,0,0.64859,0.07273,0.22799
44,33,6,0,0.6936,0.07661,0.23434
44,34,3,0,0.74073,0.16706,0.34084
44,35,6,0,0.64088,0.10944,0.27432
44,36,6,0,0.6936,0.11398,0.28749
44,37,6,0,0.7038,0.208,0.37981
44,38,5,0,0.75996,0.11337,0.28459
44,39,4,0,0.75023,0.11977,0.29827
44,40,4,0,0.67607,0.12134,0.29486
44,41,2,0,0.79413,0.20841,0.37607
44,42,3,0,0.73001,0.19845,0.3706
44,43,0,0,0.90336,0.23235,0.39208
44,44,9,0,0.61724,0.1626,0.33729
44,45,3,0,0.79411,0.17884,0.35245
44,46,1,0,0.81517,0.10245,0.28049
44,47,6,0,0.72191,0.15194,0.32122
44,48,7,0,0.6753,0.12228,0.29341
44,49,3,0,0.68806,0.13216,0.30341
45,0,7,0,0.74252,0.11135,0.28776
45,1,1,0,0.93487,0.07423,0.24071
45,2,6,0,0.63502,0.13481,0.30519
45,3,8,0,0.67525,0.11748,0.28653
45,4,8,0,0.74028,0.16765,0.33558
45,5,1,1,0.87738,0.0481,0.19089
45,6,4,0,0.75206,0.12645,0.30251
45,7,0,0,0.77812,0.17508,0.35085
45,8,8,0,0.63022,0.17386,0.34663
45,9,5,0,0.62051,0.10447,0.26694
45,10,7,0,0.73796,0.0992,0.27342
45,11,8,0,0.72418,0.16399,0.33917
45,12,3,0,0.51884,0.10835,0.27868
45,13,6,0,0.61958,0.10017,0.27843
45,14,3,0,0.69318,0.16238,0.33328
45,15,7,0,0.88556,0.11202,0.28705
45,16,0,0,0.62492,0.16017,0.33375
45,17,1,0,0.94265,0.07581,0.24536
45,18,1,1,0.9063,0.0653,0.22635
45,19,6,1,0.86077,0.13267,0.31043
45,20,5,0,0.61505,0.1294,0.30704
45,21,9,0,0.81657,0.13015,0.30508
45,22,9,0,0.78293,0.13337,0.3078
45,23,1,0,0.90064,0.07715,0.24603
45,24,9,0,0.80408,0.12402,0.29916
45,25,1,0,0.69399,0.09598,0.27424
45,26,2,0,0.69104,0.13997,0.31464
45,27,9,0,0.81657,0.1136,0.29361
45,28,2,0,0.81542,0.14398,0.32222
45,29,4,0,0.6126,0.11797,0.2885
45,30,6,0,0.75385,0.13158,0.30433
45,31,6,0,0.86077,0.17942,0.35968
45,32,8,0,0.70643,0.13089,0.30865
45,33,6,0,0.63502,0.14181,0.31422
45,34,4,0,0.67154,0.0944,0.25906
45,35,0,1,0.69486,0.11624,0.28066
45,36,3,0,0.53951,0.07384,0.23167
45,37,3,0,0.6866,0.19935,0.3666
45,38,3,0,0.79247,0.18409,0.36335
45,39,3,1,0.67411,0.09426,0.25831
45,40,0,0,0.74019,0.26196,0.41482
45,41,7,0,0.80437,0.13334,0.3117
45,42,9,0,0.80408,0.14578,0.33275
45,43,0,0,0.84302,0.14444,0.32059
45,44,0,0,0.65473,0.20834,0.37928
45,45,5,0,0.79247,0.20579,0.37564
45,46,5,0,0.71227,0.13834,0.31351
45,47,1,0,0.6561,0.19562,0.36624
45,48,5,0,0.70162,0.10098,0.27565
45,49,3,0,0.6761,0.17283,0.34272
46,0,3,0,0.82731,0.17861,0.35112
46,1,7,1,0.87388,0.1114,0.29073
46,2,2,0,0.53067,0.11002,0.27423
46,3,5,0,0.5879,0.14039,0.32063
46,4,8,0,0.79981,0.16229,0.3352
46,5,6,0,0.63698,0.13334,0.30123
46,6,9,1,0.66586,0.06344,0.2108
46,7,5,0,0.66797,0.13902,0.31108
46,8,8,0,0.79981,0.17801,0.35037
46,9,0,0,0.80328,0.17681,0.35199
46,10,4,0,0.75821,0.11133,0.28701
46,11,5,0,0.67977,0.16489,0.33706
46,12,9,0,0.8747,0.11697,0.2981
46,13,0,0,0.82852,0.14868,0.31811
46,14,8,0,0.76332,0.18282,0.35623
46,15,7,1,0.728,0.07291,0.2228
46,16,5,0,0.46931,0.07388,0.23586
46,17,1,0,0.7429,0.10249,0.2725
46,18,0,0,0.80328,0.23075,0.39231
46,19,6,0,0.70137,0.17771,0.34825
46,20,6,0,0.61221,0.11686,0.29654
46,21,9,1,0.8747,0.08635,0.25359
46,22,1,1,0.89641,0.08383,0.25725
46,23,5,0,0.63806,0.11817,0.29474
46,24,0,0,0.79687,0.17024,0.3422
46,25,5,0,0.72429,0.09381,0.26178
46,26,3,0,0.6326,0.13577,0.30644
46,27,3,0,0.74448,0.17131,0.34443
46,28,3,0,0.62198,0.10244,0.27113
46,29,7,0,0.728,0.09599,0.2717
46,30,1,0,0.85533,0.08428,0.25751
46,31,7,0,0.76498,0.12919,0.31463
46,32,2,0,0.56053,0.07024,0.22461
46,33,2,0,0.64421,0.14567,0.32234
46,34,0,0,0.74149,0.12866,0.3019
46,35,8,0,0.73129,0.16619,0.35003
46,36,7,0,0.73409,0.16756,0.34535
46,37,6,0,0.78262,0.16115,0.33915
46,38,5,0,0.56334,0.11411,0.27934
46,39,8,0,0.65266,0.13146,0.30235
46,40,9,0,0.61208,0.08032,0.22957
46,41,9,0,0.70708,0.12345,0.30149
46,42,2,0,0.76379,0.16643,0.34413
46,43,4,0,0.56812,0.12113,0.29808
46,44,6,0,0.83639,0.1588,0.33521
46,45,1,0,0.84429,0.07866,0.25126
46,46,4,0,0.70595,0.14415,0.32533
46,47,7,0,0.80821,0.1103,0.2913
46,48,9,0,0.63858,0.11809,0.28884
46,49,9,0,0.82035,0.13026,0.30944
